imp_fraction,perturb_param,level,factor,seed,pop,mean_sttc,pct_ictal,mean_rate,cv_rate
100p,tau_w,0.0,1.0,12345,IMP,0.8208760068851801,96.12500000000001,171.25651331416427,0.19576732402443783
100p,tau_w,0.0,1.0,12345,FS,0.754772014314141,96.12500000000001,187.6705875,0.19349136863104843
100p,p_conn,0.0,1.0,12345,IMP,0.8208760068851801,96.12500000000001,171.25651331416427,0.19576732402443783
100p,p_conn,0.0,1.0,12345,FS,0.754772014314141,96.12500000000001,187.6705875,0.19349136863104843
100p,C,0.1,1.1,12345,IMP,0.8090816752801285,95.875,169.1482529066133,0.1978598401285534
100p,C,0.1,1.1,12345,FS,0.7464663020006587,95.875,186.358825,0.19578586053907351
100p,C,-0.1,0.9,12345,IMP,0.8282589137688773,95.875,172.78460745093136,0.19432432221846305
100p,C,-0.1,0.9,12345,FS,0.7578854737162763,96.12500000000001,188.804775,0.19199989327254985
100p,C,0.2,1.2,12345,IMP,0.7987320977465682,96.12500000000001,166.88739217402173,0.1983922274641241
100p,C,0.2,1.2,12345,FS,0.7478637471472572,96.12500000000001,185.4675125,0.19593277039789073
100p,tau_w,0.1,1.1,12345,IMP,0.7905553486042232,95.625,167.78116952119012,0.20728915081729388
100p,tau_w,0.1,1.1,12345,FS,0.7493318638456483,95.625,186.75844999999998,0.20502053421406055
100p,C,-0.2,0.8,12345,IMP,0.8366096191491929,96.12500000000001,174.7883391673959,0.19427305424512548
100p,C,-0.2,0.8,12345,FS,0.7649088197464604,96.12500000000001,189.9180125,0.19144004097228853
100p,tau_w,0.2,1.2,12345,IMP,0.7893344925965704,90.625,169.27139642455305,0.3133891047625176
100p,tau_w,0.2,1.2,12345,FS,0.7291484335240149,90.625,177.9769375,0.30790569278968344
100p,C,-0.1,0.9,12346,IMP,0.8204146342236643,95.875,172.5094949368671,0.19546303036993365
100p,C,-0.1,0.9,12346,FS,0.7551157194991904,95.875,188.6881875,0.19287734418495414
100p,C,0.2,1.2,12346,IMP,0.7903130219343629,95.875,166.4145955744468,0.19657116827375562
100p,C,0.2,1.2,12346,FS,0.7446004488530871,96.12500000000001,185.30166250000002,0.19431309884089254
100p,C,-0.2,0.8,12346,IMP,0.8306438292448255,96.12500000000001,174.48386048256026,0.19798210001099995
100p,C,-0.2,0.8,12346,FS,0.7601677366269348,96.12500000000001,189.816975,0.19504287154788102
100p,C,0.1,1.1,12346,IMP,0.8038870957008484,96.12500000000001,168.72319039879986,0.19838307506696087
100p,C,0.1,1.1,12346,FS,0.7501966154719153,96.12500000000001,186.35717499999998,0.19612141855832846
100p,tau_w,-0.2,0.8,12345,IMP,0.8612694150893816,96.625,176.4756032004,0.1752518747110994
100p,tau_w,-0.2,0.8,12345,FS,0.7600754956363299,96.625,188.9424875,0.17318665582989118
100p,p_conn,-0.2,0.8,12345,IMP,0.7723237548232774,91.12499999999999,162.41908051006376,0.28021235142094986
100p,p_conn,-0.2,0.8,12345,FS,0.7216965400380957,91.37499999999999,178.2985375,0.27595738454341656
100p,p_conn,-0.1,0.9,12345,IMP,0.8187467764427947,92.12499999999999,168.09021127640955,0.2854538120094562
100p,p_conn,-0.1,0.9,12345,FS,0.7310873466009423,92.37499999999999,179.38815,0.28092473853624156
100p,tau_w,-0.1,0.9,12345,IMP,0.8410787225302226,96.37500000000001,174.2033066633329,0.18726580755147693
100p,tau_w,-0.1,0.9,12345,FS,0.7541978308565334,96.37500000000001,188.3396,0.18484117286426746
100p,p_conn,0.2,1.2,12345,IMP,0.8588752013881495,95.875,176.9031160145018,0.19778575849139057
100p,p_conn,0.2,1.2,12345,FS,0.7586140285791813,95.875,189.34347500000004,0.19570874459545567
100p,C,0.0,1.0,12346,IMP,0.8136266567151467,95.875,171.02134016752095,0.1989040504638777
100p,C,0.0,1.0,12346,FS,0.7498029167236758,96.12500000000001,187.417725,0.19673258594205467
100p,tau_w,0.0,1.0,12346,IMP,0.8136266567151467,95.875,171.02134016752095,0.1989040504638777
100p,tau_w,0.0,1.0,12346,FS,0.7498029167236758,96.12500000000001,187.417725,0.19673258594205467
100p,p_conn,0.0,1.0,12346,IMP,0.8136266567151467,95.875,171.02134016752095,0.1989040504638777
